country,rate,count,region,subregion,year
Seychelles,9.5,9,Africa,Eastern Africa,2012
Sierra Leone,1.9,113,Africa,Western Africa,2012
Singapore,0.2,11,Asia,South-Eastern Asia,2012
Slovakia,1.4,78,Europe,Eastern Europe,2013
Slovenia,0.7,14,Europe,Southern Europe,2012
Solomon Islands,4.3,24,Oceania,Melanesia ,2012
Somalia,8,819,Africa,Eastern Africa,2012
South Africa,31,16259,Africa,Southern Africa,2012
South Korea,0.9,427,Asia,Eastern Asia,2011
Spain,0.8,364,Europe,Southern Europe,2012
Sri Lanka,3.4,707,Asia,Southern Asia,2011
Sudan,11.2,4159,Africa,Northern Africa,2012
Suriname,6.1,33,Americas,South America,2012
Swaziland,33.8,416,Africa,Southern Africa,2012
Sweden,0.7,68,Europe,Northern Europe,2012
Switzerland,0.6,46,Europe,Western Europe,2011
Syria,2.2,463,Asia,Western Asia,2010
Taiwan,3,686,Asia,Eastern Asia,2011
Tajikistan,1.6,126,Asia,Central Asia,2011
Tanzania,12.7,6071,Africa,Eastern Africa,2012
Thailand,5,3307,Asia,South-Eastern Asia,2011
Timor-Leste,3.6,39,Asia,South-Eastern Asia,2010
Togo,10.3,684,Africa,Western Africa,2012
Trinidad and Tobago,28.3,379,Americas,Caribbean ,2012
Tunisia,2.2,235,Africa,Northern Africa,2012
Turkey,2.6,1886,Asia,Western Asia,2011
Uganda,10.7,3753,Africa,Eastern Africa,2011
Ukraine,4.3,1988,Europe,Eastern Europe,2010
United Arab Emirates,2.6,235,Asia,Western Asia,2012
United Kingdom,1,653,Europe,Northern Europe,2011
United States,3.8,122535,Americas,Northern America,2013
Uruguay,7.9,267,Americas,South America,2012
Uzbekistan,3.7,1060,Asia,Central Asia,2012
Venezuela,53.7,16072,Americas,South America,2012
Vietnam,3.3,3037,Asia,South-Eastern Asia,2012
Yemen,4.8,1099,Asia,Western Asia,2010
Zambia,10.7,1501,Africa,Eastern Africa,2012
Zimbabwe,10.6,1450,Africa,Eastern Africa,2012
